Cust_id,Inception_Date,Current_status,Duration,Acquisition_cost,Total_tran_6m,Total_tran_12m,Total_tran_18m,Avg_Tran_6m,Avg_Tran_12m,Avg_Tran_18m,Status,gender,age,marital_status,emp_status,no_of_dep,FS_code,no_complaints,only_promo_buyer_flg,value_cust_lvl,high_freq_cust_flg
1913,20-Jun-07,Y,19,90,356,311,205,110,50,111,1,1,5,1,1,2,2,24,2,3,1
1138,22-Jun-07,Y,11,54,145,917,791,147,51,183,1,2,5,1,1,2,3,29,1,2,1
1348,27-Jun-07,Y,29,100,13,206,222,199,146,194,0,1,5,2,1,1,3,29,2,2,1
1044,28-Jun-07,Y,17,63,475,335,872,124,195,150,1,1,3,1,1,1,3,15,1,3,1
1064,30-Jun-07,N,36,113,322,749,509,144,166,156,0,2,3,1,1,2,2,11,1,1,1
1287,3-Jul-07,Y,16,123,58,858,33,90,179,179,1,2,4,1,1,4,1,27,1,3,1
1629,4-Jul-07,Y,22,79,144,13,625,91,70,171,1,2,4,1,1,2,3,11,1,1,1
1866,5-Jul-07,N,17,91,197,19,801,146,146,80,1,1,4,1,1,2,2,20,2,1,1
1143,10-Jul-07,Y,19,128,178,137,620,173,141,121,1,2,5,1,1,1,2,19,1,2,1
1202,11-Jul-07,Y,29,107,305,236,994,175,162,177,0,2,3,1,2,4,3,16,1,1,2
1398,12-Jul-07,N,33,78,267,41,19,167,93,169,0,1,3,1,3,3,2,12,1,2,2
1520,13-Jul-07,Y,20,130,448,662,834,70,181,62,1,2,3,1,1,4,3,9,2,2,1
1962,15-Jul-07,N,31,128,201,592,684,70,179,117,0,2,2,1,1,4,1,12,2,3,2
1813,20-Jul-07,N,12,62,300,18,233,86,159,72,1,2,4,1,1,4,3,11,1,3,1
1935,21-Jul-07,N,28,149,121,250,669,50,187,87,0,2,2,1,2,4,2,10,2,1,1
1599,24-Jul-07,N,35,146,309,714,659,141,91,193,0,2,3,1,1,2,3,20,2,2,2
1445,30-Jul-07,Y,25,67,143,368,421,61,122,168,0,2,4,2,3,4,1,7,1,3,1
1517,30-Jul-07,Y,16,56,500,767,977,135,179,74,1,1,3,2,1,3,1,10,2,2,1
1856,31-Jul-07,N,9,133,266,839,15,184,55,161,1,2,4,1,1,3,1,20,2,2,1
1246,2-Aug-07,Y,33,124,271,394,776,101,146,68,0,2,1,1,3,3,1,4,1,1,2
1900,4-Aug-07,N,26,92,408,108,21,121,192,65,0,2,4,2,1,2,3,2,2,3,2
1575,9-Aug-07,Y,29,115,492,996,469,93,164,102,0,1,5,2,2,3,2,23,1,2,1
1346,14-Aug-07,Y,18,124,63,707,66,159,103,198,1,1,4,1,1,2,2,14,1,2,1
1914,14-Aug-07,N,28,125,365,804,787,179,157,173,0,1,1,1,1,1,1,2,2,1,2
1004,19-Aug-07,N,17,100,34,96,358,178,73,52,1,2,4,1,1,3,2,28,2,2,1
1652,20-Aug-07,N,26,107,462,527,449,135,163,168,0,1,5,1,1,4,1,2,2,3,1
1049,24-Aug-07,Y,28,114,215,333,563,118,53,177,0,2,2,1,3,4,2,30,1,1,2
1834,26-Aug-07,Y,34,131,273,398,700,142,88,113,0,1,3,1,2,3,2,18,1,1,2
1488,2-Sep-07,N,30,99,91,598,636,123,133,54,0,1,2,1,2,1,2,28,2,3,2
1391,3-Sep-07,Y,13,133,16,798,618,114,64,55,1,1,4,1,1,2,1,9,2,2,1
1997,6-Sep-07,N,17,75,496,699,789,194,141,95,1,1,4,2,1,3,2,8,2,1,1
1112,10-Sep-07,Y,23,72,379,843,930,195,145,60,1,1,3,2,1,4,3,11,2,1,1
1306,11-Sep-07,Y,23,139,226,332,826,198,64,147,1,1,4,1,1,1,3,11,1,1,1
1303,13-Sep-07,Y,23,105,341,984,542,198,157,64,1,2,5,2,1,3,2,13,2,3,1
1030,14-Sep-07,Y,32,101,123,374,33,58,148,178,0,2,3,1,3,4,2,10,2,3,1
1697,16-Sep-07,N,24,107,187,209,828,87,160,61,1,1,4,1,1,2,3,11,2,3,1
1772,22-Sep-07,N,14,117,375,571,109,65,83,84,1,2,5,1,1,2,3,6,1,1,1
1810,28-Sep-07,Y,19,54,23,346,536,77,91,74,1,2,3,1,1,3,1,20,1,2,1
1233,29-Sep-07,Y,23,138,494,394,93,158,92,118,1,2,4,1,1,3,2,17,2,3,1
1037,30-Sep-07,Y,29,107,358,699,598,141,89,177,0,2,3,1,1,1,1,17,1,2,2
1740,2-Oct-07,N,15,121,29,992,566,169,197,118,1,2,4,2,1,4,3,14,2,1,1
1228,3-Oct-07,N,28,89,282,927,777,122,62,127,0,2,1,1,1,1,1,10,2,1,2
1490,6-Oct-07,N,9,96,470,403,585,129,50,54,1,1,3,1,1,4,3,11,2,2,1
1999,8-Oct-07,Y,31,84,382,922,335,106,86,53,0,2,5,1,3,4,3,24,1,1,2
1615,9-Oct-07,N,10,132,232,187,421,189,187,181,1,1,3,2,1,4,1,11,2,3,1
1721,11-Oct-07,N,28,92,102,224,513,147,146,85,0,1,5,1,1,2,2,10,2,2,2
1695,14-Oct-07,Y,25,80,212,155,71,185,195,74,0,1,3,1,1,1,3,5,2,3,1
1178,15-Oct-07,N,10,105,210,450,910,196,89,183,1,2,4,1,1,1,2,13,2,1,1
1929,19-Oct-07,N,10,110,455,244,421,96,93,179,1,2,3,1,1,2,3,17,1,2,1
1261,20-Oct-07,Y,11,125,360,948,868,81,132,112,1,2,3,1,1,4,3,20,2,3,1
1105,22-Oct-07,Y,25,120,377,253,97,137,167,198,0,2,1,2,1,2,3,9,1,3,2
1308,28-Oct-07,N,33,114,294,593,548,181,62,60,0,1,2,1,2,3,1,25,1,1,1
1441,2-Nov-07,Y,24,115,462,524,730,192,67,130,1,1,4,1,1,3,2,21,1,1,1
1104,3-Nov-07,Y,29,142,168,732,711,128,149,197,0,1,2,2,1,3,1,27,2,3,1
1130,3-Nov-07,N,20,143,61,161,786,63,112,87,1,1,4,1,1,2,2,11,1,3,1
1286,3-Nov-07,N,23,129,225,678,583,180,83,123,1,2,3,1,1,4,1,30,1,1,1
1767,3-Nov-07,Y,14,91,362,254,813,118,144,168,1,1,5,1,1,1,2,20,1,2,1
1067,4-Nov-07,Y,17,142,481,500,296,130,88,144,1,1,4,2,1,2,1,18,2,2,1
1531,7-Nov-07,N,14,131,239,289,164,197,98,107,1,2,4,2,1,3,2,11,2,3,1
1031,10-Nov-07,N,14,78,175,197,361,85,84,103,1,1,4,1,1,4,2,22,2,3,1
1152,13-Nov-07,Y,27,53,72,258,847,176,106,180,0,2,1,1,3,2,3,12,2,2,2
1581,13-Nov-07,N,26,130,13,837,764,145,199,106,0,2,2,1,1,2,3,4,2,1,2
1869,15-Nov-07,Y,11,143,393,289,361,70,194,133,1,1,4,1,1,1,3,10,2,2,1
1990,17-Nov-07,Y,18,89,10,295,64,93,157,64,1,1,5,2,1,3,1,29,1,3,1
1235,18-Nov-07,Y,14,130,40,583,571,152,66,74,1,1,4,2,1,2,2,18,1,1,1
1761,18-Nov-07,Y,34,122,456,697,711,76,68,144,0,2,4,2,3,4,1,11,2,3,2
1489,23-Nov-07,Y,27,114,100,786,517,187,56,84,0,1,4,1,3,3,3,10,2,2,1
1807,23-Nov-07,Y,14,145,57,755,527,150,56,91,1,2,5,1,1,1,1,18,1,2,1
1048,28-Nov-07,Y,16,142,457,45,788,182,97,113,1,2,4,2,1,1,2,13,1,3,1
1877,30-Nov-07,N,32,96,109,273,30,186,59,67,0,2,3,1,3,1,3,7,2,3,2
1367,3-Dec-07,Y,16,51,359,276,887,156,171,132,1,1,4,2,1,2,2,9,2,3,1
1402,3-Dec-07,Y,11,55,407,58,826,82,93,179,1,2,4,1,1,1,1,11,2,3,1
1493,6-Dec-07,N,19,133,499,336,843,156,80,52,1,1,5,1,1,4,1,11,2,1,1
1545,6-Dec-07,N,18,134,444,684,22,116,50,82,1,1,3,1,1,3,3,11,2,3,1
1364,9-Dec-07,Y,24,103,325,156,114,158,117,57,1,1,4,2,1,2,2,19,2,1,1
1312,12-Dec-07,Y,34,100,74,67,308,92,93,173,0,2,1,1,1,3,1,20,1,1,2
1311,13-Dec-07,Y,28,84,37,212,953,62,164,179,0,1,5,2,1,3,3,3,2,3,1
1021,14-Dec-07,N,17,94,193,579,818,168,130,178,1,1,3,1,1,2,3,25,1,2,1
1583,14-Dec-07,Y,22,127,64,209,935,151,183,53,1,1,4,2,1,2,2,11,2,3,1
1924,15-Dec-07,Y,26,117,247,792,587,54,178,146,0,1,1,1,1,3,3,2,1,1,2
1912,16-Dec-07,N,33,107,472,499,37,178,71,118,0,2,1,1,3,3,3,19,2,1,1
1100,5-Jan-08,Y,15,116,429,624,912,145,102,154,1,1,4,2,1,4,1,28,2,1,1
1340,5-Jan-08,N,20,57,179,470,994,52,182,121,1,2,4,2,1,1,3,15,1,3,1
1403,5-Jan-08,N,14,82,198,789,222,191,193,87,1,2,3,1,1,1,1,23,2,2,1
1534,6-Jan-08,N,6,139,11,281,115,150,52,113,1,2,3,1,1,2,3,20,1,1,1
1941,9-Jan-08,N,30,69,57,53,780,124,84,92,0,2,5,1,2,4,2,18,2,3,2
1730,11-Jan-08,Y,36,148,277,879,243,153,167,54,0,2,4,1,3,1,2,14,1,3,2
1812,15-Jan-08,Y,14,66,295,64,374,52,77,138,1,2,4,1,1,3,1,22,2,2,1
1080,19-Jan-08,N,14,107,307,114,9,187,130,147,1,1,4,1,1,2,3,9,1,1,1
1458,21-Jan-08,Y,10,142,422,151,394,185,189,123,1,1,5,2,1,1,3,28,2,3,1
1601,22-Jan-08,Y,26,124,263,869,389,93,193,123,0,2,2,2,2,3,1,6,1,1,2
1225,24-Jan-08,Y,24,143,334,925,439,145,184,194,1,1,4,1,1,2,1,21,2,2,1
1256,24-Jan-08,Y,9,148,304,819,105,54,193,81,1,1,3,2,1,1,1,24,2,1,1
1316,28-Jan-08,N,23,63,492,30,657,116,52,94,1,2,4,1,1,1,2,19,1,1,1
1562,30-Jan-08,Y,30,127,301,463,360,177,87,136,0,1,2,2,3,4,3,24,1,3,1
1691,30-Jan-08,N,15,116,172,853,774,52,145,160,1,1,4,2,1,1,1,11,1,3,1
1008,31-Jan-08,Y,30,150,158,123,964,163,198,112,0,1,3,1,2,4,3,17,1,1,1
1699,5-Feb-08,Y,11,117,11,193,896,152,137,115,1,1,3,1,1,2,2,11,2,2,1
1608,6-Feb-08,Y,9,104,402,227,413,112,59,183,1,2,4,1,1,4,2,17,2,1,1
1151,19-Feb-08,Y,15,130,5,957,790,150,133,71,1,1,4,2,1,4,3,22,1,2,1
1270,20-Feb-08,N,16,98,321,740,614,181,151,161,1,1,3,1,1,4,3,16,2,2,1
1207,21-Feb-08,Y,32,73,332,602,418,157,190,81,0,2,5,2,1,2,2,18,1,3,2
1863,21-Feb-08,N,32,78,497,477,18,134,61,168,0,2,1,2,3,1,1,22,2,1,2
1338,24-Feb-08,Y,30,105,246,465,941,63,88,121,0,1,3,1,2,3,3,2,2,3,1
1012,27-Feb-08,N,16,146,377,950,650,150,60,176,1,2,5,1,1,1,1,21,1,1,1
1047,1-Mar-08,Y,35,116,355,853,521,92,166,191,0,2,2,1,3,2,3,4,2,1,2
1116,1-Mar-08,N,26,64,35,511,582,90,180,65,0,2,3,1,2,2,3,24,1,2,2
1438,4-Mar-08,Y,6,53,27,448,521,109,73,114,1,2,5,1,1,4,2,30,1,3,1
1007,8-Mar-08,N,12,125,418,238,116,185,85,130,1,2,4,1,1,4,3,24,1,2,1
1703,8-Mar-08,Y,28,79,290,709,695,150,105,153,0,2,2,1,3,4,1,13,1,3,1
1467,10-Mar-08,Y,17,150,250,181,438,173,139,175,1,2,4,1,1,1,3,20,2,3,1
1673,10-Mar-08,Y,7,119,99,7,517,66,79,75,1,2,3,1,1,4,1,11,1,3,1
1680,12-Mar-08,N,24,119,396,981,531,90,89,142,1,2,4,1,1,4,1,17,2,3,1
1043,13-Mar-08,N,25,103,459,756,632,58,60,72,0,1,5,2,1,2,1,18,2,2,1
1190,14-Mar-08,Y,24,133,438,960,20,84,161,176,1,2,3,1,1,2,3,16,1,2,1
1426,15-Mar-08,Y,36,84,100,697,310,167,123,186,0,2,5,1,1,1,1,23,1,2,1
1457,17-Mar-08,Y,35,109,153,199,223,158,98,182,0,2,2,2,1,3,1,10,1,1,2
1804,17-Mar-08,Y,11,132,60,835,704,123,144,73,1,2,4,2,1,1,1,19,1,2,1
1985,20-Mar-08,Y,29,76,189,102,221,184,158,189,0,1,2,1,3,3,1,24,1,1,1
1062,25-Mar-08,N,18,104,393,994,785,69,67,84,1,2,4,1,1,4,3,27,2,3,1
1224,25-Mar-08,Y,19,76,175,991,296,51,165,122,1,2,5,1,1,4,2,26,2,2,1
1103,26-Mar-08,N,28,133,124,316,739,145,69,141,0,1,4,1,3,2,1,23,2,3,1
1292,30-Mar-08,Y,17,142,179,690,706,156,125,134,1,1,4,1,1,1,3,11,2,1,1
1478,30-Mar-08,N,26,143,480,832,855,78,132,73,0,2,2,1,2,1,1,0,1,3,1
1729,4-Apr-08,N,15,107,225,385,879,158,56,51,1,2,4,1,1,3,3,12,2,2,1
1385,11-Apr-08,Y,32,100,69,446,72,148,79,162,0,1,4,1,2,3,3,8,2,3,1
1683,11-Apr-08,Y,12,76,303,225,69,99,161,131,1,2,4,1,1,1,1,9,2,2,1
1139,15-Apr-08,Y,20,68,339,314,680,163,126,107,1,1,3,1,1,2,2,16,1,2,1
1509,16-Apr-08,Y,19,127,118,389,261,195,82,176,1,2,5,1,1,4,3,12,1,1,1
1711,16-Apr-08,N,6,103,409,217,796,141,99,86,1,2,4,1,1,1,2,12,2,3,1
1512,18-Apr-08,Y,25,117,337,827,710,121,109,95,0,1,3,1,1,1,2,21,1,2,1
1854,20-Apr-08,N,15,79,252,961,527,170,110,128,1,2,4,1,1,2,1,12,2,1,1
1527,22-Apr-08,Y,22,139,231,177,789,75,92,87,1,1,4,1,1,2,3,12,2,3,1
1809,22-Apr-08,N,24,94,411,112,995,189,193,95,1,2,5,1,1,3,2,6,2,3,1
1773,23-Apr-08,Y,20,110,112,887,329,51,58,187,1,2,5,1,1,4,3,28,2,3,1
1519,25-Apr-08,Y,9,132,51,285,286,108,174,64,1,1,4,1,1,3,3,16,2,1,1
1001,26-Apr-08,Y,29,59,41,252,266,138,150,157,0,2,3,1,2,2,3,20,1,2,1
1456,29-Apr-08,Y,6,79,485,798,40,86,170,93,1,2,4,1,1,3,3,12,2,2,1
1891,29-Apr-08,N,22,124,360,733,206,65,189,177,1,1,3,1,1,2,1,17,2,1,1
1907,30-Apr-08,Y,26,128,391,739,789,187,185,150,0,2,2,1,3,1,3,8,2,3,1
1242,4-May-08,N,10,140,366,127,822,199,191,53,1,1,5,1,1,2,3,6,1,2,1
1097,5-May-08,N,28,52,51,856,967,126,59,125,0,2,3,1,3,4,2,8,1,2,2
1483,6-May-08,Y,26,97,405,866,230,134,200,184,0,1,2,1,2,2,3,2,2,1,2
1331,8-May-08,Y,33,109,271,242,585,126,171,75,0,1,1,1,2,1,2,8,1,1,2
1442,8-May-08,N,12,75,279,385,810,52,138,87,1,1,4,1,1,1,2,16,2,1,1
1768,9-May-08,Y,30,92,391,463,843,187,138,192,0,1,1,1,1,2,1,8,2,3,1
1585,11-May-08,N,33,135,195,787,953,173,185,109,0,2,2,1,2,3,2,17,2,1,1
1300,14-May-08,Y,34,105,237,609,837,176,130,87,0,2,1,1,3,2,2,10,1,2,2
1824,14-May-08,N,8,107,193,641,515,118,164,51,1,1,4,1,1,2,2,22,2,3,1
1028,22-May-08,N,18,54,220,604,506,100,191,159,1,1,4,1,1,2,2,28,1,2,1
1448,24-May-08,N,30,141,57,213,161,122,136,66,0,2,2,1,3,4,1,17,2,1,2
1546,29-May-08,N,9,52,296,473,247,70,125,72,1,1,4,1,1,2,2,21,2,1,1
1580,29-May-08,N,11,126,469,944,909,114,159,177,1,1,3,1,1,3,2,28,1,1,1
1719,6-Jun-08,N,26,114,500,548,636,96,102,198,0,1,4,1,2,2,3,12,1,3,1
1011,7-Jun-08,N,31,111,335,171,586,107,59,173,0,2,1,1,1,2,3,11,1,3,1
1502,10-Jun-08,Y,20,114,82,966,16,139,51,92,1,1,3,1,1,1,3,12,2,3,1
1380,12-Jun-08,Y,30,123,340,860,298,103,83,125,0,1,4,1,1,3,2,16,1,1,1
1800,12-Jun-08,Y,20,80,443,993,647,177,52,66,1,2,4,1,1,3,1,6,2,1,1
1731,15-Jun-08,Y,34,77,146,838,464,178,91,152,0,1,1,1,3,4,1,19,2,3,1
1657,16-Jun-08,N,25,110,405,733,739,57,108,67,0,1,2,1,3,1,2,23,1,1,2
1693,19-Jun-08,Y,8,99,490,417,202,157,176,131,1,2,5,1,1,3,3,12,1,3,1
1724,20-Jun-08,N,29,100,441,439,211,61,124,153,0,2,1,1,3,1,1,29,2,2,2
1600,2-Jul-08,Y,36,137,32,50,317,163,103,99,0,1,2,1,1,1,2,1,1,1,2
1481,3-Jul-08,Y,22,120,406,877,745,97,200,119,1,1,4,1,1,4,2,19,2,3,1
1685,4-Jul-08,Y,25,102,302,849,779,157,77,69,0,1,3,1,2,1,3,26,1,1,1
1429,5-Jul-08,Y,24,70,320,862,609,185,150,172,1,2,5,1,1,1,1,11,1,1,1
1462,5-Jul-08,Y,13,112,14,61,946,130,184,91,1,1,4,1,1,2,1,15,1,3,1
1343,8-Jul-08,Y,26,55,192,967,454,167,65,140,0,1,5,1,3,3,2,17,1,1,1
1382,9-Jul-08,N,16,120,258,353,586,53,120,136,1,2,5,1,1,1,3,6,2,3,1
1835,11-Jul-08,N,29,128,241,782,927,169,102,193,0,2,4,1,3,4,2,12,1,2,1
1259,13-Jul-08,Y,18,140,146,29,564,105,176,159,1,2,4,1,1,2,3,12,1,3,1
1961,15-Jul-08,Y,35,50,82,326,240,190,148,198,0,2,1,1,3,1,3,13,1,2,1
1164,17-Jul-08,Y,23,87,85,646,842,191,114,120,1,1,4,1,1,3,2,12,2,1,1
1674,17-Jul-08,Y,27,90,170,797,525,155,76,68,0,2,5,1,2,3,2,14,1,1,1
1980,17-Jul-08,Y,33,97,437,818,530,190,162,111,0,2,3,1,1,4,3,21,1,3,2
1066,18-Jul-08,N,21,146,148,391,965,64,131,108,1,2,4,1,1,1,3,12,1,3,1
1865,19-Jul-08,N,36,54,261,61,827,170,116,141,0,2,4,1,1,4,1,18,2,2,2
1410,23-Jul-08,N,26,125,265,852,560,114,139,192,0,2,2,1,3,2,1,4,2,3,2
1653,25-Jul-08,N,33,137,28,256,934,191,71,156,0,2,3,1,2,1,2,9,2,3,1
1766,29-Jul-08,Y,27,89,354,517,463,186,182,144,0,1,3,1,3,4,3,28,1,3,2
1010,5-Aug-08,N,11,134,78,986,803,110,165,137,1,2,3,1,1,3,3,8,1,1,1
1853,8-Aug-08,N,25,86,218,447,682,188,79,181,0,2,3,1,2,3,1,3,1,1,1
1955,8-Aug-08,Y,7,67,447,892,290,128,139,74,1,1,5,1,1,3,3,30,1,2,1
1967,10-Aug-08,N,26,118,260,444,436,75,168,60,0,2,5,1,1,3,1,29,2,1,1
1115,11-Aug-08,Y,13,64,64,677,315,62,147,160,1,2,3,1,1,4,2,29,2,3,1
1117,15-Aug-08,N,7,137,87,979,856,87,58,190,1,2,4,1,1,4,2,20,2,2,1
1009,18-Aug-08,Y,17,93,462,134,26,169,186,198,1,1,3,1,1,3,3,20,2,3,1
1587,20-Aug-08,N,30,113,302,79,368,136,151,135,0,2,2,1,3,1,1,11,1,1,2
1590,23-Aug-08,N,6,76,49,404,883,99,143,120,1,2,4,1,1,4,2,30,1,3,1
1596,24-Aug-08,N,30,138,269,774,915,126,186,104,0,2,4,1,1,1,1,2,1,3,2
1079,26-Aug-08,N,32,61,149,246,241,154,148,109,0,1,1,1,3,4,3,28,2,1,2
1285,27-Aug-08,Y,13,77,237,216,318,123,167,144,1,2,3,1,1,2,3,12,1,1,1
1971,27-Aug-08,Y,35,102,167,687,856,109,57,132,0,1,5,1,1,2,2,14,1,1,2
1120,28-Aug-08,Y,7,71,394,104,516,91,191,50,1,2,4,1,1,3,1,30,2,1,1
1107,29-Aug-08,N,9,131,47,514,374,190,133,159,1,1,4,1,1,3,1,8,2,1,1
1567,30-Aug-08,Y,18,141,15,985,71,53,200,150,1,2,3,1,1,1,2,22,2,3,1
1239,31-Aug-08,Y,31,85,80,869,965,52,102,148,0,1,4,1,3,2,3,27,2,3,1
1220,1-Sep-08,Y,15,139,208,849,493,148,164,129,1,2,4,1,1,1,3,12,1,3,1
1805,4-Sep-08,Y,27,114,381,618,371,75,166,51,0,2,5,1,3,1,2,4,2,3,2
1108,10-Sep-08,Y,29,131,394,345,759,150,59,155,0,1,4,1,2,4,3,3,1,3,2
1435,14-Sep-08,N,16,133,354,708,680,174,70,140,1,1,4,1,1,2,3,12,1,1,1
1831,15-Sep-08,Y,36,67,139,133,514,110,148,183,0,1,5,1,2,3,1,1,2,3,2
1180,16-Sep-08,Y,26,124,201,257,924,83,167,109,0,2,3,1,1,3,2,15,2,1,1
1535,18-Sep-08,Y,29,134,372,267,668,55,116,102,0,1,2,1,1,1,1,18,2,3,2
1437,25-Sep-08,N,22,114,29,900,805,79,77,93,1,2,4,1,1,1,1,24,2,2,1
1213,26-Sep-08,Y,26,128,328,226,839,126,102,185,0,1,1,1,3,3,2,13,2,3,1
1330,27-Sep-08,N,30,112,252,126,45,146,92,97,0,1,2,1,3,1,1,29,2,2,2
1267,28-Sep-08,Y,9,105,267,541,246,107,155,52,1,2,4,1,1,2,3,6,1,3,1
1932,29-Sep-08,Y,12,77,239,604,264,172,166,200,1,1,4,1,1,2,1,13,1,2,1
1232,2-Oct-08,N,33,54,322,480,903,168,115,142,0,2,4,1,1,2,1,3,2,1,2
1005,6-Oct-08,N,24,89,186,308,494,176,75,109,1,1,4,1,1,2,1,15,2,1,1
1390,8-Oct-08,Y,29,123,341,329,768,129,64,67,0,2,3,1,1,1,1,29,2,2,2
1053,11-Oct-08,N,14,54,339,857,679,175,178,144,1,2,3,1,1,2,1,21,2,1,1
1597,15-Oct-08,N,36,52,443,506,424,98,99,183,0,1,1,1,2,3,1,2,1,1,1
1414,16-Oct-08,Y,9,84,38,259,126,178,146,191,1,1,5,1,1,2,2,11,2,1,1
1169,25-Oct-08,Y,9,53,259,912,4,197,164,172,1,1,5,1,1,4,1,13,1,3,1
1942,25-Oct-08,N,24,119,322,948,21,80,157,85,1,2,5,1,1,2,3,9,2,1,1
1480,30-Oct-08,N,12,99,31,521,927,162,185,114,1,1,4,1,1,2,1,14,1,2,1
1247,31-Oct-08,Y,7,55,376,53,700,63,181,105,1,2,5,1,1,1,2,16,1,1,1
1741,31-Oct-08,Y,20,107,361,112,931,118,117,122,1,1,5,1,1,4,3,12,2,1,1
1845,4-Nov-08,N,9,82,251,482,795,106,116,154,1,2,4,1,1,3,2,30,2,2,1
1524,5-Nov-08,N,25,147,404,401,28,80,185,152,0,1,1,1,2,1,2,26,2,1,2
1042,7-Nov-08,Y,25,121,215,532,89,151,185,137,0,2,5,1,1,2,3,20,2,1,1
1075,7-Nov-08,N,19,74,403,518,530,170,189,124,1,2,4,1,1,4,1,8,2,2,1
1786,8-Nov-08,N,26,64,444,991,828,164,135,153,0,2,1,1,1,3,1,22,1,2,1
1257,10-Nov-08,Y,12,76,410,183,410,133,194,185,1,1,3,1,1,2,2,6,1,2,1
1054,11-Nov-08,N,23,98,395,829,933,164,52,191,1,2,3,1,1,3,2,15,1,2,1
1350,11-Nov-08,N,10,90,466,734,710,167,126,154,1,2,4,1,1,4,3,19,1,2,1
1796,11-Nov-08,N,31,122,130,350,938,192,75,128,0,1,3,1,1,2,1,30,2,3,1
1427,12-Nov-08,Y,23,50,119,124,712,181,77,198,1,1,4,1,1,2,1,28,2,3,1
1516,14-Nov-08,Y,17,108,274,710,250,66,95,142,1,2,5,1,1,3,3,24,2,3,1
1532,14-Nov-08,Y,35,57,19,268,656,77,99,114,0,2,3,1,1,4,2,23,2,1,2
1803,15-Nov-08,N,6,58,180,25,116,58,137,163,1,2,4,1,1,1,3,26,2,2,1
1208,16-Nov-08,N,32,147,419,19,917,93,151,190,0,1,3,1,2,3,2,20,1,2,1
1459,16-Nov-08,Y,20,96,286,661,967,175,147,90,1,2,5,1,1,1,2,23,2,2,1
1603,16-Nov-08,N,25,122,2,364,532,56,189,109,0,1,1,1,2,2,3,10,2,2,2
1780,24-Nov-08,N,26,104,423,340,999,134,91,108,0,1,5,1,2,1,2,0,1,2,2
1283,25-Nov-08,Y,31,106,183,647,28,118,179,75,0,2,5,1,2,3,1,23,2,1,1
1211,9-Dec-08,N,7,68,269,959,378,74,84,136,1,2,4,1,1,2,3,12,2,3,1
1974,9-Dec-08,N,33,76,13,53,110,63,98,50,0,2,1,1,3,1,2,15,1,2,2
1529,10-Dec-08,N,14,132,259,199,160,151,127,185,1,1,5,1,1,3,2,16,1,2,1
1184,24-Dec-08,N,36,85,353,46,298,102,127,75,0,2,3,1,2,3,2,28,1,2,2
