age1,salary,Num_Citylived,jobtype,dv_jt_other,dv_jt_govt,dv_jt_biz,dv_jt_pvt,Payer,dv_payer_parents,dv_payer_self,dv_payer_company,ClsRelativesCnt,Travel,dv_travel_low,dv_travel_medium,dv_travel_high,RelativesAbroad,dv_Rel_yes,dv_Rel_No,AvgBill,StdAvgBill
20,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,286.25,-2.822388905
17,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,284.25,-2.842248513
17,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,317.25,-2.514564981
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,380.25,-1.888987329
17,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,325.25,-2.435126549
17,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,304.25,-2.643652433
18,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,276.25,-2.921686945
19,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,368.25,-2.008144977
17,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,320.25,-2.484775569
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,338.25,-2.306039097
17,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,355.25,-2.137232429
15,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,236.25,-3.318879106
16,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,257.25,-3.110353222
21,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,281.25,-2.872037925
19,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,338.25,-2.306039097
19,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,288.25,-2.802529297
20,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,289.25,-2.792599493
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,371.25,-1.978355565
21,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,249.25,-3.189791654
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,319.25,-2.494705373
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,363.25,-2.057793997
17,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,314.25,-2.544354393
21,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,232.25,-3.358598322
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,370.25,-1.988285369
18,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,265.25,-3.030914789
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,330.25,-2.385477529
18,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,275.25,-2.931616749
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,314.25,-2.544354393
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,327.25,-2.415266941
16,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,292.25,-2.762810081
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,314.25,-2.544354393
18,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,246.25,-3.219581066
21,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,325.25,-2.435126549
16,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,323.25,-2.454986157
18,10000,3,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,259.25,-3.090493614
21,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,345.25,-2.236530469
17,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,251.25,-3.169932046
17,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,424.25,-1.452075952
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,314.25,-2.544354393
17,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,232.25,-3.358598322
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,342.25,-2.266319881
20,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,195.25,-3.72600107
16,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,311.25,-2.574143805
18,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,341.25,-2.276249685
16,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,324.25,-2.445056353
17,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,417.25,-1.52158458
19,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,391.25,-1.779759485
21,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,362.25,-2.067723801
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,389.25,-1.799619093
21,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,374.25,-1.948566153
16,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,227.25,-3.408247342
19,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,418.25,-1.511654776
15,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,369.25,-1.998215173
15,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,323.25,-2.454986157
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,468.25,-1.015164576
16,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,230.25,-3.37845793
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,287.25,-2.812459101
19,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,358.25,-2.107443017
17,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,406.25,-1.630812424
19,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,367.25,-2.018074781
20,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,303.25,-2.653582237
16,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,195.25,-3.72600107
15,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,306.25,-2.623792825
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,432.25,-1.37263752
18,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,456.25,-1.134322224
19,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,370.25,-1.988285369
15,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,291.25,-2.772739885
15,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,273.25,-2.951476357
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,470.25,-0.995304968
16,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,209.25,-3.586983814
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,453.25,-1.164111636
15,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,321.25,-2.474845765
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,437.25,-1.3229885
16,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,324.25,-2.445056353
20,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,408.25,-1.610952816
15,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,294.25,-2.742950473
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,419.25,-1.501724972
16,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,376.25,-1.928706545
19,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,447.25,-1.22369046
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,289.25,-2.792599493
18,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,317.25,-2.514564981
19,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,205.25,-3.62670303
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,371.25,-1.978355565
21,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,349.25,-2.196811253
20,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,234.25,-3.338738714
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,383.25,-1.859197917
19,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,274.25,-2.941546553
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,380.25,-1.888987329
16,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,185.25,-3.82529911
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,393.25,-1.759899876
21,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,269.25,-2.991195573
17,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,348.25,-2.206741057
21,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,309.25,-2.594003413
20,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,297.25,-2.713161061
15,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,348.25,-2.206741057
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,355.25,-2.137232429
17,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,382.25,-1.869127721
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,305.25,-2.633722629
19,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,367.25,-2.018074781
17,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,273.25,-2.951476357
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,449.25,-1.203830852
19,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,464.25,-1.054883792
15,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,343.25,-2.256390077
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,412.25,-1.5712336
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,369.25,-1.998215173
19,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,229.25,-3.388387734
19,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,334.25,-2.345758313
16,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,306.25,-2.623792825
21,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,188.25,-3.795509698
18,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,400.25,-1.690391248
17,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,296.25,-2.723090865
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,458.25,-1.114462616
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,393.25,-1.759899876
20,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,310.25,-2.584073609
20,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,184.25,-3.835228914
18,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,312.25,-2.564214001
19,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,315.25,-2.534424589
20,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,408.25,-1.610952816
20,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,309.25,-2.594003413
19,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,210.25,-3.57705401
19,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,454.25,-1.154181832
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,380.25,-1.888987329
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,455.25,-1.144252028
18,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,352.25,-2.167021841
17,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,248.25,-3.199721458
17,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,217.25,-3.507545382
17,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,321.25,-2.474845765
18,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,333.25,-2.355688117
16,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,332.25,-2.365617921
15,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,267.25,-3.011055181
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,432.25,-1.37263752
18,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,455.25,-1.144252028
16,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,374.25,-1.948566153
17,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,349.25,-2.196811253
15,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,295.25,-2.733020669
15,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,314.25,-2.544354393
16,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,304.25,-2.643652433
20,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,268.25,-3.001125377
20,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,402.25,-1.67053164
19,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,404.25,-1.650672032
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,329.25,-2.395407333
20,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,294.25,-2.742950473
21,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,192.25,-3.755790482
18,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,398.25,-1.710250856
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,309.25,-2.594003413
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,462.25,-1.0747434
17,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,356.25,-2.127302625
16,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,373.25,-1.958495957
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,438.25,-1.313058696
18,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,194.25,-3.735930874
21,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,253.25,-3.150072438
15,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,380.25,-1.888987329
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,409.25,-1.601023012
18,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,437.25,-1.3229885
17,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,194.25,-3.735930874
17,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,213.25,-3.547264598
19,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,270.25,-2.981265769
19,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,190.25,-3.77565009
20,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,409.25,-1.601023012
21,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,228.25,-3.398317538
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,457.25,-1.12439242
16,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,365.25,-2.037934389
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,471.25,-0.985375164
19,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,326.25,-2.425196745
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,441.25,-1.283269284
18,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,399.25,-1.700321052
21,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,296.25,-2.723090865
16,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,353.25,-2.157092037
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,425.25,-1.442146148
15,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,382.25,-1.869127721
16,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,399.25,-1.700321052
15,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,369.25,-1.998215173
19,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,342.25,-2.266319881
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,406.25,-1.630812424
17,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,282.25,-2.862108121
18,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,274.25,-2.941546553
18,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,339.25,-2.296109293
21,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,303.25,-2.653582237
20,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,265.25,-3.030914789
21,10000,3,Business,0,0,1,0,Parents,1,0,0,4,Low,1,0,0,Yes,1,0,442.25,-1.27333948
21,10000,3,Government,0,1,0,0,Parents,1,0,0,2,Low,1,0,0,Yes,1,0,352.25,-2.167021841
20,10000,1,Private,0,0,0,1,Parents,1,0,0,3,Low,1,0,0,No,0,1,299.25,-2.693301453
16,10000,1,Other,1,0,0,0,Parents,1,0,0,1,Low,1,0,0,No,0,1,222.25,-3.457896362
30,40000,3,Private,0,0,0,1,Company,0,0,1,3,High,0,0,1,No,0,1,643,0.720068674
48,40000,3,Government,0,1,0,0,Self,0,1,0,2,Medium,0,1,0,Yes,1,0,425.25,-1.442146148
45,60000,4,Private,0,0,0,1,Company,0,0,1,3,High,0,0,1,No,0,1,697.75,1.263725444
31,60000,2,Other,1,0,0,0,Company,0,0,1,1,High,0,0,1,No,0,1,541.75,-0.285323981
45,100000,4,Private,0,0,0,1,Self,0,1,0,3,Medium,0,1,0,No,0,1,700,1.286067503
30,80000,1,Private,0,0,0,1,Company,0,0,1,3,High,0,0,1,No,0,1,593,0.223578474
51,60000,2,Business,0,0,1,0,Self,0,1,0,4,Medium,0,1,0,Yes,1,0,568,-0.024666626
53,80000,3,Other,1,0,0,0,Company,0,0,1,1,High,0,0,1,No,0,1,549,-0.213332902
56,60000,2,Business,0,0,1,0,Self,0,1,0,4,Medium,0,1,0,Yes,1,0,583.5,0.129245336
41,40000,1,Government,0,1,0,0,Company,0,0,1,2,High,0,0,1,Yes,1,0,495,-0.749542319
50,80000,3,Business,0,0,1,0,Self,0,1,0,4,Medium,0,1,0,Yes,1,0,594.25,0.235990729
23,40000,3,Business,0,0,1,0,Company,0,0,1,4,High,0,0,1,Yes,1,0,633.25,0.623253085
26,100000,2,Private,0,0,0,1,Company,0,0,1,3,High,0,0,1,No,0,1,709.75,1.382883092
59,80000,3,Business,0,0,1,0,Self,0,1,0,4,Medium,0,1,0,Yes,1,0,556.75,-0.136376921
54,100000,4,Other,1,0,0,0,Company,0,0,1,1,High,0,0,1,No,0,1,637.75,0.667937203
32,40000,3,Business,0,0,1,0,Company,0,0,1,4,High,0,0,1,Yes,1,0,719,1.474733779
35,100000,2,Private,0,0,0,1,Company,0,0,1,3,High,0,0,1,No,0,1,693.75,1.224006228
62,40000,1,Government,0,1,0,0,Company,0,0,1,2,High,0,0,1,Yes,1,0,449.5,-1.201348401
45,40000,3,Private,0,0,0,1,Self,0,1,0,3,Medium,0,1,0,No,0,1,480.25,-0.896006928
40,60000,4,Business,0,0,1,0,Company,0,0,1,4,High,0,0,1,Yes,1,0,776.75,2.04817996
61,100000,2,Government,0,1,0,0,Self,0,1,0,2,Medium,0,1,0,Yes,1,0,558.5,-0.118999764
28,100000,4,Business,0,0,1,0,Self,0,1,0,4,Medium,0,1,0,Yes,1,0,790,2.179749864
26,40000,1,Other,1,0,0,0,Self,0,1,0,1,Medium,0,1,0,No,0,1,436.25,-1.332918304
64,40000,3,Private,0,0,0,1,Self,0,1,0,3,Medium,0,1,0,No,0,1,542.75,-0.275394177
58,60000,4,Business,0,0,1,0,Company,0,0,1,4,High,0,0,1,Yes,1,0,695.25,1.238900934
33,80000,1,Business,0,0,1,0,Company,0,0,1,4,High,0,0,1,Yes,1,0,694,1.226488679
26,60000,4,Private,0,0,0,1,Self,0,1,0,3,Medium,0,1,0,No,0,1,692,1.206629071
65,60000,2,Other,1,0,0,0,Self,0,1,0,1,Medium,0,1,0,No,0,1,484.5,-0.853805261
25,100000,4,Government,0,1,0,0,Company,0,0,1,2,High,0,0,1,Yes,1,0,748.75,1.770145448
50,100000,2,Business,0,0,1,0,Company,0,0,1,4,High,0,0,1,Yes,1,0,715.75,1.442461916
28,80000,3,Other,1,0,0,0,Self,0,1,0,1,Medium,0,1,0,No,0,1,536.25,-0.339937903
56,100000,2,Business,0,0,1,0,Company,0,0,1,4,High,0,0,1,Yes,1,0,679.25,1.08002407
