master_id,Responder,Age,Channel,FS_code,Marital_status,Gender,Prosperity_Index,WSI,IncomeGrp,No of prod1,MSL_prod1,MR_prod,LifeStage,No of prod2,MSL_prod2,num_of_cars,Family_doctor
10030,1,40,Direct,A,Yes,Female,Low,3,2,3,14,Car,Low,4,1,2,1
10031,1,33,Direct,A,Yes,Female,Medium,2,1,5,16,Car,Medium,1,13,4,1
10032,1,25,Direct,A,No,Female,Low,3,2,9,12,Bike,Low,7,29,3,1
10033,1,50,Direct,A,Yes,Female,Medium,2,1,6,3,Bike,Medium,7,32,1,1
10034,1,40,Direct,B,Yes,Female,Low,3,1,2,35,Bike,Low,4,36,3,0
10035,1,29,Direct,B,No,Female,Medium,2,2,10,31,Bike,Medium,10,6,2,1
10036,1,50,Direct,B,Yes,Female,Low,3,1,3,14,Bike,Low,8,4,0,1
10037,1,27,Direct,B,No,Female,High,1,2,2,4,Bike,High,3,7,3,1
10038,1,38,Direct,B,Yes,Female,Low,3,3,2,2,Bike,Low,9,7,4,1
10039,1,39,Direct,B,No,Female,High,1,1,5,4,Bike,High,2,35,1,0
10040,1,27,Direct,B,Yes,Female,High,1,2,9,21,Bike,High,10,28,0,1
10041,1,46,Direct,B,No,Female,Low,3,3,4,19,Bike,Low,5,9,4,0
10042,1,40,Direct,B,Yes,Female,Low,3,2,4,25,Bike,Low,4,12,4,1
10043,1,48,Direct,B,No,Female,Low,3,2,9,8,Bike,Low,1,26,1,0
10044,1,40,Direct,B,Yes,Female,Low,3,3,10,23,Bike,Low,3,21,4,1
10045,1,46,Direct,B,Yes,Female,Low,3,1,5,10,Bike,Low,1,4,2,0
10046,1,30,Direct,B,No,Female,Medium,2,1,3,30,Bike,Medium,6,9,2,1
10047,1,41,Direct,B,Yes,Female,Low,3,3,6,31,Bike,Low,3,22,4,0
10048,1,47,Direct,B,Yes,Female,Low,3,3,4,24,Bike,Low,8,26,4,0
10049,1,38,Direct,B,No,Female,Low,3,2,3,17,Bike,Low,8,20,3,0
10050,1,30,Direct,B,Yes,Female,High,1,3,8,10,Bike,High,8,30,4,0
10051,1,37,Direct,B,No,Female,Low,3,1,5,24,Bike,Low,2,22,3,1
10052,1,50,Direct,B,Yes,Female,Medium,2,2,6,28,Bike,Medium,1,11,4,0
10053,1,38,Direct,B,No,Female,High,1,3,5,36,Bike,High,7,11,4,1
10054,1,49,Direct,B,No,Female,High,1,2,10,3,Bike,High,9,18,2,0
10055,1,34,Direct,B,No,Female,Medium,2,3,3,11,Bike,Medium,3,29,4,0
10056,1,41,Direct,B,No,Female,Low,3,3,7,10,Bike,Low,2,5,2,1
10057,1,48,Direct,B,No,Female,Medium,2,3,4,9,Bike,Medium,10,14,3,0
10058,1,37,Direct,B,Yes,Female,High,1,2,2,34,Bike,High,1,34,2,1
10059,1,35,Direct,B,No,Female,Low,3,2,7,16,Bike,Low,1,18,0,1
10060,1,43,Direct,B,Yes,Female,High,1,2,3,11,Bike,High,7,19,0,1
10061,1,26,Direct,B,No,Female,High,1,3,8,7,Home,High,9,5,3,0
10062,1,41,Direct,B,No,Female,High,1,1,5,34,Home,High,1,16,4,1
10063,1,37,Direct,B,No,Female,High,1,3,8,23,Home,High,10,36,0,0
10064,1,33,Direct,B,Yes,Female,High,1,1,6,6,Home,High,3,17,3,0
10065,1,35,Direct,B,No,Female,Low,3,1,6,26,Home,Low,4,25,0,1
10066,1,43,Direct,B,No,Female,Medium,2,2,2,25,Home,Medium,10,23,3,0
10067,1,48,Direct,B,No,Female,High,1,3,7,11,Home,High,8,33,1,1
10068,1,43,Direct,B,No,Female,High,1,1,8,17,Home,High,4,13,0,1
10069,1,35,Direct,B,Yes,Female,Low,3,3,5,36,Home,Low,4,3,3,0
10070,1,31,Direct,B,No,Female,High,1,1,5,16,Home,High,4,21,3,0
10071,1,44,Direct,B,No,Female,Low,3,3,8,27,Home,Low,4,30,1,1
10072,1,48,Direct,B,Yes,Female,Low,3,1,3,34,Home,Low,8,13,4,0
10073,1,49,Direct,B,Yes,Female,Medium,2,3,10,20,Home,Medium,8,14,2,0
10074,1,30,Direct,B,Yes,Female,Low,3,1,2,4,Home,Low,3,10,3,0
10075,1,26,Direct,B,No,Female,High,1,3,8,12,Home,High,8,5,3,1
10076,1,43,Direct,B,Yes,Female,High,1,3,5,15,Home,High,10,1,4,0
10077,1,46,Direct,B,Yes,Female,High,1,1,3,24,Home,High,7,1,3,1
10078,1,29,Direct,B,Yes,Female,High,1,2,6,15,Home,High,3,23,3,1
10079,1,33,Direct,B,Yes,Female,High,1,3,10,33,Home,High,10,2,3,1
10080,1,25,Direct,B,No,Female,Low,3,2,2,5,Home,Low,8,35,2,1
10081,1,38,Direct,B,Yes,Female,High,1,1,2,11,Home,High,4,29,4,1
10082,1,34,Direct,B,No,Female,High,1,1,3,34,Home,High,8,20,4,0
10083,1,42,Direct,B,Yes,Female,High,1,2,2,14,Home,High,5,21,4,0
10084,1,40,Direct,B,Yes,Female,Low,3,2,10,9,Home,Low,2,13,0,0
10085,1,49,Direct,B,No,Female,Low,3,2,4,13,Home,Low,4,20,4,1
10086,1,28,Direct,B,No,Female,Medium,2,2,2,18,Home,Medium,5,10,1,1
10087,1,49,Direct,B,Yes,Female,Medium,2,3,3,18,Home,Medium,6,4,2,1
10088,1,35,Direct,B,No,Female,Low,3,3,4,28,Home,Low,10,28,3,0
10089,1,42,Direct,B,Yes,Female,Low,3,1,7,1,Home,Low,9,20,4,0
10090,1,28,Direct,B,Yes,Female,Low,3,2,7,23,Home,Low,7,25,3,0
10091,1,28,Direct,B,No,Female,Low,3,1,5,10,Home,Low,9,6,1,1
10092,1,48,Direct,B,Yes,Female,Medium,2,3,5,16,Home,Medium,10,12,1,1
10093,1,41,Direct,B,Yes,Female,Medium,2,2,8,11,Home,Medium,7,34,4,1
10094,1,43,Direct,B,No,Female,Medium,2,3,10,26,Home,Medium,7,1,3,0
10095,1,37,Direct,B,No,Female,High,1,2,9,17,Home,High,6,24,4,0
10096,1,35,Direct,B,No,Female,Medium,2,3,10,23,Home,Medium,6,36,2,1
10097,1,34,Direct,B,No,Female,Low,3,3,7,15,Home,Low,10,14,0,0
10098,1,32,Direct,B,No,Female,High,1,3,9,15,Home,High,10,22,0,1
10099,1,46,Direct,B,Yes,Female,Low,3,1,7,15,Home,Low,6,26,1,0
10100,1,49,Direct,B,Yes,Female,Low,3,2,7,20,Home,Low,3,26,3,1
10101,1,33,Direct,B,Yes,Female,High,1,1,10,17,Home,High,1,30,4,1
10102,1,29,Direct,B,No,Female,Low,3,3,3,30,Home,Low,4,4,4,0
10103,1,50,Direct,B,No,Female,High,1,3,2,25,Home,High,2,31,3,0
10104,1,36,Direct,B,Yes,Female,Medium,2,1,10,23,Home,Medium,5,16,2,1
10105,1,36,Direct,B,Yes,Female,High,1,2,4,24,Home,High,5,19,0,0
10106,1,39,Direct,B,No,Female,High,1,2,4,18,Home,High,3,30,1,0
10107,1,32,Direct,B,Yes,Female,Low,3,1,3,33,Home,Low,8,7,4,1
10108,1,32,Direct,B,No,Female,Medium,2,2,10,19,Home,Medium,7,20,4,0
10109,1,37,Direct,B,No,Female,Medium,2,1,6,6,Home,Medium,2,2,1,1
10110,1,37,Direct,B,Yes,Female,High,1,1,2,16,Home,High,7,17,2,1
10111,1,34,Direct,B,Yes,Female,High,1,1,7,27,Home,High,6,17,2,0
10112,1,37,Direct,B,No,Female,Low,3,3,9,19,Home,Low,1,20,0,1
10113,1,32,Direct,B,No,Female,Low,3,2,7,6,Home,Low,1,32,3,0
10114,1,38,Direct,B,Yes,Female,High,1,1,10,32,Home,High,10,6,4,1
10115,1,32,Direct,B,No,Female,High,1,3,10,4,Home,High,10,16,1,1
10116,1,35,Direct,B,Yes,Female,Medium,2,2,3,24,Home,Medium,7,21,3,1
10117,1,42,Direct,B,Yes,Female,Low,3,1,2,35,Home,Low,2,34,3,0
10118,1,28,Direct,B,Yes,Female,Low,3,2,2,19,Home,Low,4,17,4,1
10119,1,38,Direct,B,No,Female,High,1,3,7,30,Home,High,4,6,2,1
10120,1,48,Direct,B,Yes,Female,High,1,2,2,2,Home,High,2,4,3,1
10121,1,28,Direct,B,Yes,Female,High,1,1,3,1,Home,High,6,24,4,1
10122,1,29,Direct,B,Yes,Female,High,1,3,2,27,Home,High,6,30,3,1
10123,1,32,Direct,B,Yes,Female,Medium,2,3,7,22,Home,Medium,1,32,1,1
10124,1,40,Direct,B,No,Female,Low,3,3,2,2,Home,Low,8,24,4,0
10125,1,50,Direct,B,No,Female,High,1,1,5,23,Home,High,4,26,2,1
10126,1,31,Direct,B,No,Female,Low,3,3,10,32,Home,Low,7,28,3,0
10127,1,43,Direct,B,Yes,Female,Low,3,3,7,15,Home,Low,1,25,1,1
10128,1,36,Direct,B,No,Female,Low,3,1,10,7,Home,Low,9,26,2,1
10129,1,38,Direct,B,Yes,Female,Low,3,3,9,32,Home,Low,4,7,4,1
10130,1,35,Direct,B,No,Female,High,1,1,8,19,Home,High,3,7,0,0
10131,1,25,Direct,B,No,Female,High,1,2,3,15,Home,High,9,18,4,1
10132,1,46,Direct,B,Yes,Female,Low,3,2,4,13,Home,Low,5,29,1,1
10133,1,34,Direct,B,No,Female,Low,3,2,7,29,Home,Low,10,27,4,0
10134,1,49,Direct,B,Yes,Female,Low,3,1,8,12,Home,Low,1,20,0,0
10135,1,39,Direct,B,Yes,Female,High,1,1,10,10,Home,High,2,26,4,1
10136,1,46,Direct,B,Yes,Female,Medium,2,3,6,19,Home,Medium,7,8,2,0
10137,1,25,Direct,B,No,Female,High,1,3,4,32,Home,High,2,4,2,0
10138,1,49,Direct,B,Yes,Female,Medium,2,1,10,24,Home,Medium,6,36,3,1
10139,1,43,Direct,B,No,Female,Low,3,3,6,9,Home,Low,7,3,0,0
10140,1,26,Direct,B,Yes,Female,Medium,2,3,10,16,Home,Medium,4,11,1,0
10141,1,38,Direct,B,Yes,Female,Low,3,1,9,3,Home,Low,5,26,4,0
10142,1,31,Direct,B,Yes,Female,Medium,2,1,7,30,Home,Medium,6,36,4,0
10143,1,44,Direct,B,Yes,Female,Medium,2,2,3,15,Home,Medium,5,4,4,0
10144,1,28,Direct,B,Yes,Female,Low,3,2,3,11,Home,Low,9,14,0,0
10145,1,45,Direct,B,Yes,Female,Low,3,1,7,5,Home,Low,2,6,2,0
10146,1,38,Direct,B,No,Female,Medium,2,2,5,10,Home,Medium,4,34,2,1
10147,1,35,Direct,B,No,Female,Medium,2,3,5,30,Home,Medium,7,11,1,0
10148,1,36,Direct,C,Yes,Female,High,1,3,8,30,Home,High,6,7,1,0
10149,1,35,Direct,C,Yes,Female,Low,3,3,6,29,Home,Low,7,3,4,0
10150,1,47,Direct,C,Yes,Female,Low,3,1,2,6,Home,Low,5,7,2,0
10151,1,44,Direct,C,No,Female,Low,3,3,8,30,Home,Low,6,30,3,1
10152,1,28,Direct,C,No,Female,Low,3,2,10,28,Home,Low,6,31,0,0
10153,1,28,Direct,C,No,Female,Medium,2,2,4,24,Home,Medium,5,33,2,1
10154,1,44,Direct,C,No,Female,Low,3,1,4,32,Home,Low,7,13,4,1
10155,1,46,Direct,C,Yes,Female,High,1,3,4,36,Home,High,5,16,0,0
10156,1,43,Direct,C,No,Female,Medium,2,3,6,35,Home,Medium,3,29,4,0
10157,1,38,Direct,C,No,Female,Medium,2,2,10,16,Home,Medium,10,20,3,1
10158,1,38,Direct,C,Yes,Female,Medium,2,2,9,16,Home,Medium,8,22,3,0
10159,1,25,Direct,C,No,Female,High,1,2,9,32,Home,High,9,34,4,0
10160,1,30,Direct,C,Yes,Female,Low,3,3,5,1,Home,Low,10,36,2,1
10161,1,36,Direct,C,Yes,Female,High,1,2,9,33,Home,High,4,33,0,1
10162,1,38,Direct,C,Yes,Female,Medium,2,1,2,12,Home,Medium,6,1,1,0
10163,1,28,Direct,C,No,Female,Medium,2,2,4,27,Home,Medium,4,21,4,1
10164,1,37,Direct,C,Yes,Female,Medium,2,1,5,25,Home,Medium,10,33,2,0
10165,1,32,Direct,C,Yes,Female,Medium,2,1,10,8,Home,Medium,4,21,4,0
10166,1,28,Direct,C,No,Female,Medium,2,3,3,19,Home,Medium,4,34,2,0
10167,1,48,Direct,C,Yes,Female,Medium,2,2,10,8,Home,Medium,10,36,4,0
10168,1,35,Direct,C,No,Female,High,1,2,4,36,Home,High,10,20,3,1
10169,1,46,Direct,C,No,Female,Low,3,3,3,2,Home,Low,2,16,2,0
10170,1,27,Direct,C,No,Female,Low,3,2,7,14,Home,Low,3,3,2,0
10171,1,35,Direct,C,Yes,Female,High,1,1,3,10,Home,High,7,17,2,1
10172,1,27,Direct,C,No,Female,Medium,2,3,4,16,Home,Medium,2,15,4,1
10173,1,49,Direct,C,No,Female,Low,3,2,3,28,Home,Low,2,5,2,0
10174,1,49,Direct,C,Yes,Female,Low,3,3,8,34,Home,Low,8,29,0,1
10175,1,26,Direct,C,Yes,Female,High,1,3,2,21,Home,High,3,8,1,0
10176,1,44,Direct,C,No,Female,High,1,1,3,9,Home,High,1,11,2,1
10177,1,43,Direct,C,Yes,Female,Medium,2,1,8,18,Home,Medium,3,6,3,1
10178,1,39,Direct,C,Yes,Female,Low,3,2,2,30,Home,Low,7,30,0,1
10179,1,40,Direct,C,Yes,Female,Medium,2,3,9,7,Home,Medium,9,25,0,0
10180,1,38,Direct,C,No,Female,High,1,1,8,13,Home,High,10,6,3,0
10181,1,26,Direct,C,Yes,Female,High,1,3,4,16,Home,High,4,24,3,0
10182,1,42,Direct,C,Yes,Female,High,1,3,9,12,Home,High,3,17,0,0
10183,1,34,Direct,C,Yes,Female,High,1,3,3,26,Home,High,6,27,1,1
10184,1,35,Direct,C,No,Female,High,1,2,8,18,Home,High,3,4,0,0
10185,1,50,Direct,C,Yes,Female,Low,3,3,7,18,Home,Low,8,26,1,0
10186,1,33,Direct,C,No,Female,Medium,2,1,6,25,Home,Medium,1,33,4,0
10187,1,33,Direct,C,Yes,Female,High,1,2,6,11,Home,High,10,34,4,1
10188,1,45,Direct,C,No,Female,High,1,2,9,9,Home,High,10,13,2,0
10189,1,27,Direct,C,Yes,Female,Low,3,3,3,32,Home,Low,1,5,4,1
10190,1,46,Direct,C,No,Female,High,1,1,2,27,Home,High,2,5,0,1
10191,1,34,Direct,C,Yes,Female,High,1,3,3,13,Home,High,7,2,4,1
10192,1,35,Direct,C,Yes,Female,Medium,2,2,3,20,Home,Medium,5,5,1,1
10193,1,30,Direct,C,No,Female,High,1,2,4,25,Home,High,2,28,2,1
10194,1,34,Direct,C,Yes,Female,Low,3,1,7,22,Home,Low,4,12,3,0
10195,1,44,Direct,C,Yes,Female,Medium,2,2,2,27,Home,Medium,3,2,3,0
10196,1,43,Direct,C,Yes,Female,Medium,2,1,9,29,Home,Medium,9,28,0,0
10197,1,42,Direct,C,Yes,Female,High,1,1,10,28,Home,High,7,4,3,1
10198,1,50,Direct,C,No,Female,Medium,2,2,10,15,Home,Medium,7,36,2,0
10199,1,48,Broker,C,Yes,Female,Low,3,3,9,10,Home,Low,1,7,1,0
10200,1,35,Broker,C,Yes,Male,Medium,2,2,6,27,Home,Medium,10,36,4,0
10201,1,47,Broker,C,Yes,Male,Low,3,1,5,32,Home,Low,2,25,2,1
10202,1,29,Broker,C,Yes,Male,Low,3,3,2,5,Home,Low,5,24,0,0
10203,1,48,Broker,C,No,Male,Low,3,3,5,10,Home,Low,9,18,1,0
10204,1,37,Broker,C,Yes,Male,Low,3,3,2,33,Home,Low,5,8,0,0
10205,1,31,Broker,C,Yes,Male,Medium,2,2,5,33,Home,Medium,5,15,0,0
10206,1,47,Broker,C,Yes,Male,Medium,2,3,9,18,Home,Medium,6,22,0,1
10207,1,34,Broker,C,No,Male,High,1,1,4,19,Home,High,3,29,1,0
10208,1,32,Broker,C,No,Male,High,1,2,5,10,Home,High,3,36,0,1
10209,1,43,Broker,C,Yes,Male,Low,3,3,5,33,Home,Low,4,12,0,1
10210,1,38,Broker,C,Yes,Male,Low,3,1,10,4,Home,Low,3,3,2,0
10211,1,39,Broker,C,Yes,Male,Low,3,3,8,33,Home,Low,3,25,4,1
10212,1,29,Broker,C,Yes,Male,High,1,2,8,26,Home,High,5,30,4,0
10213,1,31,Broker,C,Yes,Male,High,1,1,9,13,Home,High,2,21,1,0
10214,1,28,Broker,C,No,Male,Medium,2,3,10,25,Home,Medium,5,30,2,0
10215,1,27,Broker,C,Yes,Male,High,1,1,3,15,Home,High,4,36,0,1
10216,1,45,Broker,C,No,Male,High,1,1,4,29,Home,High,10,21,1,1
10217,1,34,Broker,C,Yes,Male,Medium,2,3,7,26,Home,Medium,10,9,2,1
10218,1,37,Broker,C,No,Male,High,1,1,9,26,Home,High,3,5,1,1
10219,1,30,Broker,C,No,Male,Medium,2,1,5,26,Home,Medium,9,13,1,1
10220,1,39,Broker,C,No,Male,Medium,2,2,9,3,Home,Medium,7,27,1,0
10221,1,39,Broker,C,Yes,Male,Medium,2,3,9,13,Home,Medium,6,25,4,0
10222,1,39,Broker,C,Yes,Male,Medium,2,3,6,36,Home,Medium,8,35,2,0
10223,1,25,Broker,C,Yes,Male,Medium,2,2,5,14,Home,Medium,7,12,4,0
10224,1,49,Broker,C,No,Male,Medium,2,3,8,32,Home,Medium,7,34,1,0
10225,1,36,Broker,C,Yes,Male,Low,3,3,5,30,Home,Low,10,12,1,0
10226,1,28,Broker,C,Yes,Male,Low,3,3,7,28,Home,Low,7,20,1,1
10227,1,38,Broker,C,Yes,Male,Medium,2,1,5,3,Home,Medium,7,22,2,0
10228,1,26,Broker,C,No,Male,Medium,2,1,7,7,Home,Medium,8,6,0,0
10229,1,49,Broker,C,Yes,Male,Low,3,1,2,21,Home,Low,9,32,0,1
10230,1,43,Broker,C,Yes,Male,Low,3,2,9,24,Home,Low,7,3,0,1
10231,1,28,Broker,C,Yes,Male,High,1,3,4,18,Home,High,9,13,2,1
10232,1,41,Broker,C,No,Male,High,1,2,6,26,Home,High,6,9,1,0
10233,1,43,Broker,C,No,Male,Low,3,1,10,27,Life,Low,9,4,4,1
10234,1,43,Broker,C,No,Male,High,1,3,3,24,Life,High,3,13,1,0
10235,1,49,Broker,C,Yes,Male,Medium,2,1,2,25,Life,Medium,6,33,4,1
10236,1,31,Broker,C,No,Male,Low,3,3,9,2,Life,Low,1,13,0,0
10237,1,33,Broker,C,Yes,Male,High,1,3,5,29,Life,High,9,5,4,0
10238,1,45,Broker,C,Yes,Male,Low,3,3,2,3,Life,Low,7,2,4,0
10239,1,48,Broker,C,No,Male,Low,3,2,8,27,Life,Low,10,1,0,0
10240,1,27,Broker,C,No,Male,Low,3,1,6,18,Life,Low,8,24,2,0
10241,1,37,Broker,C,Yes,Male,Low,3,3,3,29,Life,Low,8,26,3,0
10242,1,28,Broker,C,Yes,Male,Low,3,2,8,19,Life,Low,1,13,3,0
10243,1,44,Broker,C,No,Male,Medium,2,2,8,35,Life,Medium,3,15,4,1
10244,1,34,Broker,C,Yes,Male,Low,3,2,6,1,Life,Low,7,26,0,0
10245,1,30,Broker,C,No,Male,Medium,2,3,9,1,Life,Medium,2,8,2,1
10246,1,31,Broker,C,No,Male,Low,3,3,4,6,Life,Low,5,12,0,0
10247,1,33,Broker,C,Yes,Male,Medium,2,1,2,32,Life,Medium,4,17,1,1
10248,1,25,Broker,C,Yes,Male,Low,3,2,5,11,Life,Low,8,11,0,0
10249,1,32,Broker,D,Yes,Male,High,1,2,10,22,Life,High,9,9,3,1
10250,1,41,Broker,D,No,Male,Low,3,1,9,26,Life,Low,8,15,4,0
10251,1,29,Broker,D,No,Male,Medium,2,2,3,8,Life,Medium,10,3,2,0
10252,1,32,Broker,D,No,Male,High,1,3,6,17,Life,High,10,13,1,1
10253,1,39,Broker,D,No,Male,Medium,2,2,7,20,Life,Medium,5,3,2,0
10254,1,33,Broker,D,Yes,Male,Low,3,3,9,12,Life,Low,7,14,4,1
10255,1,43,Broker,D,No,Male,Low,3,1,4,20,Life,Low,3,21,4,0
10256,1,38,Broker,D,No,Male,Medium,2,1,2,18,Life,Medium,8,25,4,0
10257,1,38,Broker,D,No,Male,High,1,3,3,23,Life,High,4,29,0,0
10258,1,49,Broker,D,No,Male,Medium,2,2,4,21,Life,Medium,5,5,0,0
10259,1,42,Broker,D,No,Male,Low,3,2,6,27,Life,Low,6,8,0,1
10260,1,30,Broker,D,No,Male,Low,3,2,3,19,Life,Low,10,35,1,1
10261,1,45,Broker,D,No,Male,High,1,2,8,29,Life,High,8,30,2,0
10262,1,28,Broker,D,Yes,Male,High,1,3,7,2,Life,High,6,34,0,1
10263,1,33,Broker,D,Yes,Male,Low,3,1,10,21,Life,Low,8,23,1,1
10264,1,45,Broker,D,No,Male,Medium,2,1,2,29,Life,Medium,8,24,0,1
10265,1,47,Broker,D,No,Male,Medium,2,1,4,29,Life,Medium,6,26,2,1
10266,1,38,Broker,D,Yes,Male,Medium,2,1,10,5,Life,Medium,8,32,0,1
10267,1,50,Broker,D,No,Male,High,1,3,2,33,Life,High,7,24,2,1
10268,1,31,Broker,D,No,Male,High,1,2,7,36,Life,High,2,3,2,1
10269,1,25,Broker,D,No,Male,High,1,2,5,9,Life,High,3,24,3,1
10270,1,26,Broker,D,Yes,Male,Low,3,1,8,35,Life,Low,1,28,2,1
10271,1,44,Broker,D,No,Male,Medium,2,3,4,12,Life,Medium,10,10,2,1
10272,1,38,Broker,D,Yes,Male,Medium,2,2,3,8,Life,Medium,3,9,2,1
10273,1,35,Broker,D,Yes,Male,Medium,2,1,5,29,Life,Medium,8,17,3,1
10274,1,31,Broker,D,Yes,Male,Medium,2,2,2,28,Life,Medium,8,7,0,0
10275,1,31,Broker,D,No,Male,Medium,2,1,8,33,Life,Medium,5,29,2,0
10276,1,46,Broker,D,Yes,Male,High,1,3,6,31,Life,High,7,18,0,1
10277,1,40,Broker,D,No,Male,Medium,2,1,5,32,Life,Medium,4,8,2,0
10278,1,46,Broker,D,No,Male,High,1,1,10,24,Life,High,1,1,0,0
10279,1,44,Broker,D,Yes,Male,Medium,2,2,5,30,Life,Medium,10,4,2,0
10280,1,49,Broker,D,No,Male,Low,3,3,3,34,Life,Low,9,6,1,0
10281,1,26,Broker,D,Yes,Male,Medium,2,3,4,27,Life,Medium,3,20,1,1
10282,1,47,Broker,D,No,Male,High,1,2,7,33,Life,High,7,11,2,1
10283,1,28,Broker,D,No,Male,High,1,2,6,26,Life,High,1,26,0,0
10284,1,42,Broker,D,Yes,Male,Low,3,2,8,25,Life,Low,10,29,3,0
10285,1,41,Broker,D,Yes,Male,Low,3,2,3,13,Life,Low,4,27,3,0
10286,1,27,Broker,D,No,Male,Low,3,1,2,34,Life,Low,3,8,1,1
10287,1,38,Broker,D,No,Male,High,1,3,9,10,Life,High,7,34,1,1
10288,1,38,Broker,D,Yes,Male,Low,3,2,10,36,Life,Low,4,28,2,1
10289,1,29,Broker,D,No,Male,Low,3,1,3,3,Life,Low,9,35,0,0
10290,1,31,Broker,D,No,Male,Low,3,3,6,27,Life,Low,6,27,1,1
10291,1,49,Broker,D,Yes,Male,Low,3,1,8,21,Life,Low,7,14,1,0
10292,1,44,Broker,D,Yes,Male,Low,3,3,3,22,Life,Low,1,9,0,1
10293,1,35,Broker,E,Yes,Male,Medium,2,3,4,15,Life,Medium,7,35,4,1
10294,1,31,Broker,E,Yes,Male,Low,3,2,9,2,Life,Low,3,11,3,1
10295,1,47,Broker,E,Yes,Male,Low,3,1,10,36,Life,Low,2,20,2,0
10296,1,39,Broker,E,No,Male,Medium,2,1,6,30,Life,Medium,9,34,1,1
10297,1,37,Broker,E,Yes,Male,Low,3,2,3,30,Life,Low,10,17,4,1
10298,1,47,Broker,E,No,Male,High,1,3,9,12,Life,High,7,22,3,0
10299,1,44,Broker,E,No,Male,High,1,2,9,11,Life,High,6,13,3,0
10300,0,30,Broker,E,No,Male,Medium,2,2,5,2,Life,Medium,10,35,3,0
10301,0,45,Broker,E,Other,Male,High,1,1,5,21,Life,High,8,36,0,0
10302,0,31,Broker,E,Other,Male,High,1,3,8,26,Life,High,9,29,1,1
10303,0,59,Broker,E,Other,Male,Medium,2,1,3,32,Life,Medium,4,32,2,1
10304,0,54,Broker,E,Yes,Male,Low,3,2,10,13,Life,Low,5,34,3,1
10305,0,21,Broker,E,Other,Male,Medium,2,1,9,14,Life,Medium,7,10,3,1
10306,0,35,Broker,E,No,Male,High,1,1,7,11,Life,High,10,30,1,0
10307,0,29,Broker,E,No,Male,Medium,2,2,2,7,Life,Medium,8,16,4,0
10308,0,26,Broker,E,Other,Male,Medium,2,1,5,22,Life,Medium,4,36,3,0
10309,0,54,Broker,E,Yes,Male,High,1,2,5,17,Life,High,8,16,0,0
10310,0,40,Broker,E,Other,Male,Medium,2,1,5,10,Life,Medium,7,15,2,1
10311,0,34,Broker,E,No,Male,High,1,2,4,22,Life,High,7,5,2,1
