Cust_id,Plan_Chg_Flag,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
1017,Yes,Central,Medium,Unemployed,30,Female,0,200,15,Cash,Postpaid,2,2,300,300,600,300,300,50,500,2,2,600,300,100,50,20,Poor
1018,Yes,Central,Medium,Private,30,Female,0,200,15,Card,Postpaid,2,2,300,600,600,100,300,200,500,2,2,300,600,20,50,20,Good
1019,Yes,South,Medium,Private,30,Female,0,200,15,Card,Postpaid,1,2,600,300,600,100,10,50,1500,1,2,300,300,100,50,20,Good
1020,Yes,South,Low,Private,30,Male,0,600,7,Cash,Postpaid,1,2,600,600,300,100,10,200,1500,2,1,600,600,100,500,20,Good
1021,Yes,South,High,Private,30,Female,0,600,15,Card,Postpaid,1,2,600,600,600,300,300,50,1500,1,2,300,600,20,50,20,Good
1022,Yes,Central,Medium,Private,30,Female,0,600,15,Cash,Postpaid,1,2,300,600,300,100,10,200,1500,1,2,600,300,20,500,20,Good
1023,Yes,South,High,Private,30,Male,0,600,7,Cash,Postpaid,1,2,300,600,600,100,300,200,1500,1,1,300,600,20,500,20,Good
1024,Yes,South,Medium,Govt,30,Male,0,600,7,Card,Postpaid,1,2,600,300,300,100,10,50,1500,2,2,300,300,20,500,20,Good
1025,Yes,South,Medium,Private,30,Male,3,200,7,Cash,Postpaid,1,2,300,300,600,100,10,200,500,1,1,300,600,100,50,20,Good
1026,Yes,Central,Medium,Private,30,Male,0,600,7,Cash,Postpaid,1,2,300,300,300,300,10,50,1500,2,2,300,600,100,500,20,Good
1027,Yes,South,Medium,Private,30,Female,3,600,15,Cash,Postpaid,1,2,600,600,600,300,300,50,1500,2,2,600,300,20,50,20,Good
1028,Yes,Central,High,Private,30,Female,0,200,15,Cash,Postpaid,1,2,300,600,600,300,300,200,1500,2,1,600,600,20,500,20,Good
1029,Yes,Central,Low,Private,30,Female,0,200,15,Card,Postpaid,1,2,300,300,300,300,300,50,1500,2,2,600,600,20,500,20,Good
1030,Yes,North,High,Private,30,Male,3,200,7,Card,Postpaid,1,2,300,600,600,300,10,50,500,1,2,300,300,20,500,20,Good
1031,Yes,South,High,Private,30,Male,3,200,7,Card,Postpaid,1,2,600,600,300,300,10,50,500,2,1,600,300,20,50,20,Good
1032,Yes,Central,Low,Unemployed,30,Female,0,600,15,Card,Postpaid,1,2,600,600,600,100,300,200,1500,2,1,600,300,20,50,20,Good
1033,Yes,South,Low,Private,30,Male,3,600,7,Card,Postpaid,1,2,300,300,300,100,300,200,500,1,1,300,300,100,500,20,Good
1034,Yes,Central,High,Private,30,Female,0,600,15,Cash,Postpaid,1,2,300,600,300,300,10,50,500,1,2,600,600,20,500,20,Good
1035,Yes,North,High,Private,30,Male,0,200,7,Card,Postpaid,1,2,600,600,600,300,300,50,500,2,2,300,300,20,50,20,Good
1036,Yes,South,Low,Private,30,Female,0,200,15,Card,Postpaid,1,2,300,300,600,300,300,50,500,2,1,600,300,100,500,20,Good
1037,Yes,North,Low,Private,30,Male,3,600,7,Cash,Postpaid,1,2,300,600,600,300,300,50,500,2,2,300,300,100,50,20,Good
1038,Yes,North,Low,Private,30,Female,3,200,15,Cash,Postpaid,1,2,600,600,600,100,300,50,500,1,2,300,300,20,500,20,Good
1039,Yes,South,High,Private,30,Male,0,600,7,Cash,Postpaid,1,2,300,600,300,300,10,50,1500,1,1,600,300,100,500,20,Good
1040,Yes,South,Medium,Private,30,Male,3,200,7,Cash,Postpaid,1,1,300,300,600,100,300,50,1500,1,2,300,600,100,500,20,Good
1041,Yes,South,Medium,Private,30,Male,3,600,7,Card,Postpaid,1,1,300,600,300,100,300,50,1500,2,2,300,600,20,50,20,Good
1042,Yes,Central,Low,Private,30,Male,0,200,7,Card,Postpaid,1,1,600,300,300,100,10,50,500,1,1,600,600,100,50,20,Good
1043,Yes,North,Low,Private,30,Male,3,600,7,Card,Postpaid,1,1,600,300,300,100,10,200,500,1,1,300,600,100,50,20,Good
1044,Yes,South,Medium,Private,30,Male,3,200,7,Cash,Postpaid,1,1,600,300,600,100,10,200,1500,1,2,300,300,100,500,20,Good
1045,Yes,North,High,Private,30,Female,0,200,15,Cash,Postpaid,1,1,600,600,600,300,300,200,500,2,2,600,300,20,50,20,Good
1046,Yes,North,High,Private,30,Male,0,200,7,Card,Postpaid,1,1,300,600,600,100,10,200,500,2,2,600,600,100,50,20,Good
1047,Yes,Central,Medium,Private,30,Male,0,200,7,Cash,Postpaid,1,1,600,600,600,300,10,50,1500,2,1,300,300,100,50,20,Good
1048,Yes,South,Medium,Private,30,Male,0,200,7,Card,Postpaid,1,1,300,300,300,100,300,200,500,1,1,300,300,20,50,20,Good
1049,Yes,South,High,Private,30,Female,3,200,15,Cash,Postpaid,1,1,300,300,300,300,300,200,500,2,1,600,300,100,50,20,Good
1050,Yes,South,Low,Private,30,Male,3,600,7,Card,Postpaid,1,1,600,600,300,100,10,50,1500,2,2,300,300,20,50,20,Good
1051,Yes,North,Low,Private,30,Female,3,200,15,Cash,Postpaid,1,1,600,300,600,100,300,200,500,2,2,300,300,20,500,20,Good
1052,Yes,South,Medium,Private,30,Female,0,200,15,Card,Postpaid,1,1,300,300,600,100,300,50,500,2,2,300,600,20,50,20,Good
1053,Yes,South,High,Private,30,Female,0,200,15,Cash,Postpaid,1,1,600,300,300,100,300,200,500,2,1,300,600,20,50,20,Good
1054,Yes,South,High,Private,30,Female,0,600,15,Cash,Postpaid,1,1,300,600,300,100,300,50,1500,2,1,300,300,100,50,20,Good
1055,Yes,South,Medium,Private,30,Male,0,200,7,Cash,Postpaid,1,1,300,600,600,100,300,50,500,1,2,300,300,100,500,20,Good
1056,Yes,Central,High,Private,30,Male,0,600,7,Cash,Postpaid,1,1,300,600,300,300,300,50,1500,1,1,300,300,100,500,20,Good
1057,Yes,North,Low,Private,30,Male,0,600,7,Cash,Postpaid,1,1,600,300,300,300,300,200,1500,1,1,600,600,100,500,20,Good
1058,Yes,South,High,Private,30,Male,3,600,7,Cash,Postpaid,1,1,300,300,600,100,300,50,500,2,1,600,600,20,50,20,Good
1059,Yes,Central,High,Private,30,Male,0,600,7,Card,Postpaid,1,1,300,600,600,300,300,200,500,1,1,300,600,20,50,20,Good
1060,Yes,North,Low,Private,30,Male,3,200,7,Cash,Postpaid,1,1,600,600,600,300,10,50,1500,2,1,600,600,20,500,20,Good
1061,Yes,South,Low,Private,30,Female,0,200,15,Cash,Postpaid,1,1,600,300,600,100,300,200,1500,2,1,300,300,20,500,20,Good
1062,Yes,Central,Low,Private,30,Female,0,200,15,Cash,Postpaid,1,1,300,600,300,300,10,50,500,1,1,300,600,100,500,20,Good
1063,Yes,North,Low,Private,30,Female,0,200,15,Card,Postpaid,2,1,300,300,600,300,10,200,500,2,1,300,300,100,50,20,Good
1064,Yes,Central,Medium,Private,30,Female,0,200,15,Cash,Postpaid,2,1,300,300,600,100,300,50,1500,2,2,300,600,100,50,20,Good
1065,Yes,North,Medium,Private,30,Female,0,200,15,Card,Postpaid,2,1,600,600,600,300,10,50,500,1,2,300,300,100,500,20,Good
1066,Yes,South,Medium,Private,30,Male,0,600,7,Card,Postpaid,2,2,300,600,600,100,10,50,1500,1,1,600,600,100,50,20,Good
1067,Yes,North,High,Private,30,Male,3,600,7,Card,Postpaid,1,2,600,600,600,100,10,200,500,2,2,300,300,20,50,20,Good
1068,Yes,South,Medium,Private,30,Male,3,600,7,Card,Postpaid,2,2,300,300,600,100,300,200,1500,1,2,600,600,20,500,20,Good
1069,Yes,Central,Low,Private,30,Female,3,600,15,Cash,Postpaid,2,2,300,300,300,300,300,200,1500,2,2,300,600,100,50,20,Good
1070,Yes,North,Low,Private,30,Male,0,600,7,Cash,Postpaid,2,2,600,300,300,100,10,200,500,1,1,600,300,20,50,20,Good
1071,Yes,North,Medium,Private,30,Female,0,200,15,Cash,Postpaid,2,2,600,600,300,300,300,50,500,2,2,300,600,20,50,20,Good
1072,Yes,North,Low,Private,30,Female,3,200,15,Cash,Postpaid,2,2,600,300,300,300,10,50,500,2,2,600,300,20,50,20,Good
1073,Yes,North,High,Private,30,Female,3,200,15,Cash,Postpaid,1,2,300,300,300,300,10,200,500,1,1,600,600,100,500,20,Good
1074,Yes,North,Medium,Private,30,Male,3,600,7,Cash,Postpaid,1,2,300,300,300,300,10,200,1500,1,1,600,300,100,50,20,Good
1075,Yes,Central,Low,Private,30,Male,0,200,7,Card,Postpaid,1,1,300,300,300,100,10,200,500,1,2,600,600,20,50,20,Good
1076,Yes,Central,Medium,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,300,600,300,10,200,1500,1,2,300,600,100,500,20,Good
1077,Yes,North,High,Private,30,Female,0,600,15,Card,Postpaid,1,1,300,600,300,300,300,50,500,2,1,300,300,20,50,20,Good
1078,Yes,South,Medium,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,300,300,300,200,1500,2,1,600,600,20,50,20,Good
1079,Yes,Central,Low,Private,30,Male,3,200,7,Card,Postpaid,1,1,600,300,300,300,300,50,500,1,2,600,300,20,50,20,Good
1080,Yes,Central,Low,Private,30,Male,3,200,7,Cash,Postpaid,1,1,600,300,300,100,300,50,1500,1,1,300,600,100,500,20,Good
1081,Yes,Central,Medium,Private,30,Male,3,600,7,Cash,Postpaid,1,1,600,300,300,100,300,200,500,2,2,600,300,100,500,20,Good
1082,Yes,North,High,Private,30,Female,3,600,15,Cash,Postpaid,1,1,600,600,600,100,10,50,1500,2,1,600,300,20,50,20,Good
1083,Yes,Central,Low,Private,30,Male,0,600,7,Card,Postpaid,1,1,600,600,300,300,10,50,1500,2,1,600,300,100,500,20,Good
1084,Yes,North,Low,Private,30,Female,0,200,7,Cash,Postpaid,1,1,300,300,600,100,10,50,1500,2,1,300,600,100,50,20,Good
1085,Yes,North,Low,Private,30,Male,3,200,15,Card,Postpaid,1,1,300,600,300,100,10,200,500,2,2,300,300,100,500,20,Good
1086,Yes,Central,Medium,Private,30,Female,0,200,15,Card,Postpaid,1,1,600,300,300,300,10,50,500,1,2,600,300,20,50,20,Good
1087,Yes,Central,Medium,Private,30,Female,3,600,7,Card,Postpaid,1,1,300,300,600,100,300,50,500,1,1,600,300,20,500,20,Good
1088,Yes,South,Low,Private,30,Male,0,600,15,Cash,Postpaid,1,1,600,600,300,100,10,50,500,1,1,300,600,100,500,20,Good
1089,Yes,North,Medium,Private,30,Female,0,600,7,Cash,Postpaid,1,1,600,600,600,100,300,200,500,2,2,300,600,100,500,20,Good
1090,Yes,South,High,Private,30,Male,3,600,7,Card,Postpaid,1,1,600,300,600,100,300,50,1500,1,2,600,300,100,500,20,Good
1091,Yes,South,Low,Private,30,Male,3,600,15,Card,Postpaid,1,1,600,600,600,100,10,200,500,1,1,300,600,20,500,20,Good
1092,Yes,South,High,Private,30,Male,0,200,7,Card,Postpaid,1,1,300,600,600,300,10,50,500,2,1,600,600,100,500,20,Good
1093,Yes,Central,High,Private,30,Male,0,200,7,Cash,Postpaid,1,1,300,600,300,300,300,50,1500,2,2,300,300,100,50,20,Good
1094,Yes,South,High,Private,30,Male,3,200,7,Cash,Postpaid,1,1,300,300,600,300,10,50,500,2,2,300,600,100,500,20,Good
1095,Yes,Central,Medium,Private,30,Male,0,600,7,Cash,Postpaid,1,1,600,300,600,100,300,200,500,1,2,600,300,20,50,20,Good
1096,Yes,Central,Medium,Private,30,Male,3,200,15,Card,Postpaid,1,1,600,300,600,300,300,50,500,2,2,300,300,20,50,20,Good
1097,Yes,North,Medium,Private,30,Female,3,200,15,Card,Postpaid,1,1,600,600,300,100,300,50,500,1,2,300,600,100,500,20,Good
1098,Yes,Central,Low,Private,30,Female,3,600,15,Cash,Postpaid,1,1,300,300,300,300,300,200,1500,1,1,600,600,100,50,20,Good
1099,Yes,Central,Medium,Private,30,Female,0,600,15,Cash,Postpaid,1,1,300,600,300,100,10,50,1500,2,2,600,300,100,500,20,Good
1100,Yes,North,Low,Private,30,Female,3,200,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,1,600,600,100,500,20,Good
1101,Yes,North,Medium,Private,30,Male,3,600,7,Card,Postpaid,1,1,600,300,300,100,10,200,500,1,2,600,300,20,500,20,Good
1102,Yes,North,Low,Private,30,Male,0,200,15,Card,Postpaid,1,1,600,600,300,300,300,200,500,1,2,300,300,100,500,20,Good
1103,Yes,South,Medium,Private,30,Male,3,200,15,Card,Postpaid,1,1,600,300,300,300,300,50,1500,2,1,600,600,100,500,20,Good
1104,Yes,South,High,Private,30,Male,0,600,7,Card,Postpaid,1,1,600,300,300,300,10,200,500,2,1,300,600,20,50,20,Good
1105,Yes,South,High,Private,30,Male,3,200,7,Card,Postpaid,1,1,600,300,300,100,10,50,1500,1,2,600,600,100,50,20,Good
1106,Yes,North,High,Private,30,Male,3,200,7,Cash,Postpaid,1,1,300,600,300,100,10,200,1500,2,1,300,300,100,500,20,Good
1107,Yes,South,High,Private,30,Male,3,200,7,Cash,Postpaid,1,1,300,600,300,300,10,200,500,1,1,600,300,100,50,20,Good
1108,Yes,South,High,Private,30,Female,0,200,15,Card,Postpaid,1,1,600,300,600,300,10,50,500,1,2,600,600,100,500,20,Good
1109,Yes,Central,Medium,Private,30,Female,0,600,15,Card,Postpaid,1,1,600,300,300,300,10,50,500,1,1,300,300,100,500,20,Good
1110,Yes,South,High,Private,30,Female,0,600,15,Card,Postpaid,1,1,600,600,600,100,300,50,500,2,1,300,600,20,50,20,Good
1111,Yes,North,High,Private,30,Male,3,600,7,Card,Postpaid,1,1,600,600,300,300,10,50,500,2,1,600,600,100,500,20,Good
1112,Yes,South,Medium,Private,30,Male,0,600,7,Cash,Postpaid,1,1,300,300,600,100,10,200,1500,2,1,600,300,20,500,20,Good
1113,Yes,South,Medium,Private,30,Female,0,600,15,Card,Postpaid,1,1,600,600,300,100,10,50,500,2,1,600,300,20,50,20,Good
1114,Yes,North,Medium,Private,30,Male,3,200,7,Cash,Postpaid,1,1,300,600,600,300,300,200,500,2,2,600,300,20,50,20,Good
1115,Yes,North,Low,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,300,100,300,50,500,2,2,600,300,20,500,20,Good
1116,Yes,South,Low,Private,30,Male,3,600,7,Cash,Postpaid,1,1,600,600,600,300,300,200,500,1,2,300,600,20,50,20,Good
1117,Yes,North,High,Private,30,Male,0,200,15,Card,Postpaid,1,1,300,300,300,300,10,200,500,1,1,600,300,100,500,20,Good
1118,Yes,Central,High,Private,30,Male,0,200,7,Cash,Postpaid,1,1,300,300,600,300,10,200,500,1,1,300,300,100,50,20,Good
1119,Yes,Central,High,Private,30,Male,3,200,15,Cash,Postpaid,1,1,300,600,600,300,10,50,1500,2,2,300,300,100,50,20,Good
1120,Yes,North,High,Private,30,Female,0,200,7,Card,Postpaid,1,1,600,600,300,300,300,50,500,1,1,600,300,20,50,20,Good
1121,Yes,North,Medium,Private,30,Male,0,600,7,Card,Postpaid,1,1,300,600,600,300,10,50,1500,1,2,600,300,20,500,20,Good
1122,Yes,South,Low,Private,30,Male,3,600,7,Cash,Postpaid,1,1,600,600,300,300,10,200,500,1,2,600,300,100,500,20,Good
1123,Yes,North,Low,Private,30,Male,0,600,7,Card,Postpaid,1,1,300,600,600,100,300,50,500,2,1,600,300,100,500,20,Good
1124,Yes,North,Medium,Private,30,Male,0,200,7,Cash,Postpaid,1,1,600,600,300,100,10,50,1500,1,1,300,300,100,500,20,Good
1125,Yes,South,Low,Private,30,Female,0,200,7,Cash,Postpaid,1,1,300,300,300,100,300,200,500,2,1,600,600,20,50,20,Good
1126,Yes,North,High,Private,30,Male,0,600,15,Card,Postpaid,1,1,300,300,300,300,10,50,500,1,1,300,600,20,500,20,Good
1127,Yes,North,Medium,Private,30,Female,0,200,7,Cash,Postpaid,1,1,300,600,300,300,300,50,1500,2,1,300,600,20,50,20,Good
1128,Yes,South,Medium,Private,30,Male,3,600,7,Cash,Postpaid,1,1,600,300,600,300,10,200,1500,1,2,600,600,100,500,20,Good
1129,Yes,North,Low,Private,30,Male,3,200,7,Cash,Postpaid,1,1,600,300,600,300,300,50,1500,2,1,600,300,20,50,20,Good
1130,Yes,North,Medium,Private,30,Female,0,600,15,Cash,Postpaid,1,1,300,600,300,100,300,50,500,2,2,600,300,20,50,20,Good
1131,Yes,South,High,Private,30,Female,0,200,7,Card,Postpaid,1,1,300,300,300,300,300,200,1500,1,2,300,600,100,50,20,Good
1132,Yes,Central,Low,Private,30,Female,0,600,15,Card,Postpaid,1,1,600,300,600,300,10,50,500,1,2,600,300,100,50,20,Good
1133,Yes,Central,Medium,Private,30,Female,0,200,15,Card,Postpaid,1,1,600,600,600,100,300,50,1500,2,1,600,600,20,50,20,Good
1134,Yes,South,Medium,Private,30,Female,3,200,15,Card,Postpaid,1,1,300,600,600,300,10,50,1500,1,1,300,600,100,50,20,Good
1135,Yes,North,Medium,Private,30,Male,3,200,15,Card,Postpaid,1,1,600,300,300,300,10,200,1500,1,2,600,600,100,50,20,Good
1136,Yes,North,Medium,Private,30,Female,0,200,7,Cash,Postpaid,1,1,300,600,300,100,10,200,500,2,1,300,600,100,500,20,Good
1137,Yes,North,Low,Private,30,Male,3,200,7,Card,Postpaid,1,1,600,300,300,300,300,200,1500,1,1,300,600,100,50,20,Good
1138,Yes,North,High,Private,30,Female,0,200,7,Card,Postpaid,1,1,300,300,300,100,10,200,1500,1,1,600,300,100,50,20,Good
1139,Yes,North,Medium,Private,30,Male,0,600,7,Cash,Postpaid,1,1,300,600,300,100,300,200,1500,2,1,600,300,100,500,20,Good
1140,Yes,Central,Low,Private,30,Male,0,200,7,Cash,Postpaid,1,1,300,300,300,100,300,50,500,2,1,600,300,100,500,20,Good
1141,Yes,South,High,Private,30,Female,3,200,7,Cash,Postpaid,1,1,300,600,300,100,10,50,1500,1,2,300,300,20,500,20,Good
1142,Yes,South,High,Private,30,Male,3,200,15,Cash,Postpaid,1,1,600,600,600,100,300,200,1500,2,2,300,300,100,50,20,Good
1143,Yes,North,Medium,Private,30,Male,3,600,15,Card,Postpaid,1,1,300,600,600,300,10,200,1500,2,2,300,600,100,50,20,Good
1144,Yes,Central,High,Private,30,Female,0,200,15,Card,Postpaid,1,1,300,300,300,300,10,200,1500,1,1,300,600,100,50,20,Good
1145,Yes,South,Low,Private,30,Male,3,600,15,Card,Postpaid,1,1,300,600,300,300,10,50,1500,2,2,600,300,20,50,20,Good
1146,Yes,South,Low,Private,30,Male,3,600,15,Cash,Postpaid,1,1,300,300,300,300,10,50,500,1,1,300,600,20,50,20,Good
1147,Yes,Central,Low,Private,30,Female,3,600,7,Cash,Postpaid,1,1,300,600,600,300,10,50,500,2,2,300,600,100,500,20,Good
1148,Yes,North,High,Private,30,Female,3,600,7,Card,Postpaid,1,1,600,600,600,100,10,50,500,1,1,600,300,20,50,20,Good
1149,Yes,South,Medium,Private,30,Male,3,200,7,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1150,Yes,South,Low,Private,30,Female,0,200,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1151,Yes,South,High,Private,30,Male,0,200,7,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1152,Yes,North,High,Private,30,Female,3,200,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1153,Yes,Central,Low,Private,30,Male,3,200,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1154,Yes,South,Low,Private,30,Female,3,200,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1155,Yes,South,High,Private,30,Female,0,600,7,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1156,Yes,South,High,Private,30,Male,0,600,7,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1157,Yes,North,High,Private,30,Female,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1158,Yes,North,High,Private,30,Female,0,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1159,Yes,Central,Medium,Private,30,Male,0,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1160,Yes,Central,High,Private,30,Male,0,200,7,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1161,Yes,South,Low,Private,30,Male,3,200,7,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1162,Yes,North,Medium,Private,30,Female,3,200,7,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1163,Yes,South,High,Private,30,Male,0,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1164,Yes,North,Medium,Private,30,Male,0,200,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1165,Yes,South,Low,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1166,Yes,Central,Low,Private,30,Male,0,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1167,Yes,South,Medium,Private,30,Male,0,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1168,Yes,North,High,Private,30,Female,3,200,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1169,Yes,Central,Low,Private,30,Male,3,200,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1170,Yes,South,Medium,Private,30,Male,0,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1171,Yes,South,Medium,Private,30,Male,0,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1172,Yes,South,Medium,Private,30,Male,0,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1173,Yes,North,Medium,Private,30,Male,0,200,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1174,Yes,South,Low,Private,30,Male,3,200,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1175,Yes,North,Medium,Private,30,Male,0,200,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1176,Yes,Central,Medium,Private,30,Male,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1177,Yes,South,Medium,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1178,Yes,Central,Medium,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1179,Yes,Central,High,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1180,Yes,Central,High,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1181,Yes,North,Medium,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1182,Yes,Central,Medium,Private,30,Female,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1183,Yes,Central,Low,Private,30,Female,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1184,Yes,North,High,Private,30,Female,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1185,Yes,Central,Medium,Private,30,Female,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1186,Yes,South,Low,Private,30,Male,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1187,Yes,South,High,Private,30,Male,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1188,Yes,South,High,Private,30,Male,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1189,Yes,South,Medium,Private,30,Male,3,600,15,Card,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1190,Yes,South,Medium,Private,30,Female,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
1191,Yes,North,Low,Private,30,Male,3,600,15,Cash,Postpaid,1,1,600,600,600,300,300,200,1500,2,2,600,600,100,500,20,Good
